data,prazo_de_8_dias_brl,prazo_de_8_dias_usd
28/06/1996,81.19,80.86
01/07/1996,80.93,80.6
02/07/1996,80.93,80.53
03/07/1996,80.79,80.4
04/07/1996,80.7,80.35
05/07/1996,80.59,80.26
08/07/1996,80.6,80.27
09/07/1996,80.13,79.72
10/07/1996,79.89,79.47
11/07/1996,79.72,79.32
12/07/1996,79.67,79.27
15/07/1996,79.71,79.23
16/07/1996,79.58,79.1
17/07/1996,79.76,79.23
18/07/1996,79.32,78.76
19/07/1996,79.41,78.85
22/07/1996,79.32,78.75
23/07/1996,79.15,78.55
24/07/1996,78.88,78.22
25/07/1996,79,78.34
26/07/1996,79.06,78.32
29/07/1996,79.3,78.51
30/07/1996,79.07,78.27
31/07/1996,79.47,78.37
01/08/1996,79.08,78.3
02/08/1996,78.89,78.14
05/08/1996,78.57,77.81
06/08/1996,78.4,77.55
07/08/1996,78.6,77.74
08/08/1996,78.42,77.56
09/08/1996,78.4,77.51
12/08/1996,78.25,77.31
13/08/1996,78.48,77.52
14/08/1996,79.02,78.05
15/08/1996,78.87,77.89
16/08/1996,79.25,78.23
19/08/1996,79.31,78.28
20/08/1996,79.29,78.19
21/08/1996,79.62,78.46
22/08/1996,79.96,78.8
23/08/1996,80.07,78.88
26/08/1996,80.24,79.05
27/08/1996,80.59,79.38
28/08/1996,80.59,79.34
29/08/1996,80.82,79.55
30/08/1996,80.84,79.53
02/09/1996,80.84,79.57
03/09/1996,81.06,79.71
04/09/1996,81.5,80.17
05/09/1996,81.65,80.25
06/09/1996,81.51,80.05
09/09/1996,81.42,79.9
10/09/1996,81.62,80.13
11/09/1996,81.91,80.43
12/09/1996,82.14,80.51
13/09/1996,82.13,80.62
16/09/1996,82.54,81.03
17/09/1996,82.87,81.32
18/09/1996,83.47,81.91
19/09/1996,84.02,82.45
20/09/1996,84.45,82.83
23/09/1996,84.41,82.79
24/09/1996,85.04,83.41
25/09/1996,85.51,83.81
26/09/1996,85.5,83.81
27/09/1996,85.9,84.17
30/09/1996,85.99,84.21
01/10/1996,86.12,84.34
02/10/1996,86.32,84.54
04/10/1996,86.62,84.75
07/10/1996,86.35,84.48
08/10/1996,86.8,84.9
09/10/1996,86.95,84.95
10/10/1996,86.74,84.69
11/10/1996,86.83,84.71
14/10/1996,86.98,84.89
15/10/1996,87.16,85.07
16/10/1996,87.25,85.15
17/10/1996,86.93,84.84
18/10/1996,87.15,85.06
21/10/1996,87.37,85.26
22/10/1996,87.29,84.93
23/10/1996,87.29,85.08
24/10/1996,87.35,85.17
25/10/1996,87.15,84.83
28/10/1996,87.53,85.02
29/10/1996,87.42,85.06
30/10/1996,87.68,85.36
31/10/1996,87.75,85.34
01/11/1996,87.67,85.32
04/11/1996,87.6,85.25
05/11/1996,87.56,85.2
06/11/1996,87.8,85.44
07/11/1996,87.93,85.49
08/11/1996,87.99,85.44
11/11/1996,87.81,85.29
12/11/1996,87.75,85.17
13/11/1996,88.04,85.45
14/11/1996,88.21,85.6
18/11/1996,88.18,85.58
19/11/1996,88.37,85.8
20/11/1996,88.55,85.92
21/11/1996,88.49,85.85
22/11/1996,88.18,85.55
25/11/1996,88.48,85.83
26/11/1996,88.65,85.93
27/11/1996,88.85,86.08
28/11/1996,88.66,85.85
29/11/1996,88.72,85.9
02/12/1996,88.86,86.05
03/12/1996,89,86.19
04/12/1996,88.84,85.95
05/12/1996,88.85,85.88
06/12/1996,89.17,86.19
09/12/1996,88.53,85.56
10/12/1996,88.87,85.78
11/12/1996,88.61,85.48
12/12/1996,88.98,85.72
13/12/1996,88.79,85.56
16/12/1996,88.72,85.4
17/12/1996,89.13,85.7
18/12/1996,89.27,85.99
19/12/1996,88.87,85.62
20/12/1996,88.78,85.52
23/12/1996,88.65,85.36
26/12/1996,88.75,85.44
27/12/1996,88.48,85.06
30/12/1996,88.68,85.36
02/01/1997,88.76,85.4
03/01/1997,89.56,86.14
06/01/1997,88.8,85.37
07/01/1997,88.92,85.49
08/01/1997,88.95,85.46
09/01/1997,89.12,85.59
10/01/1997,89.25,85.74
13/01/1997,89.36,85.78
14/01/1997,89.26,85.67
15/01/1997,89.45,85.83
16/01/1997,89.6,85.86
17/01/1997,89.5,85.74
20/01/1997,89.81,86.11
21/01/1997,89.65,85.95
22/01/1997,90.57,86.8
23/01/1997,90.35,86.57
24/01/1997,90.92,87.11
27/01/1997,90.66,86.86
28/01/1997,90.82,87.05
29/01/1997,91.53,87.55
30/01/1997,91.63,87.65
31/01/1997,91.37,87.36
03/02/1997,91.29,87.35
04/02/1997,90.86,86.86
05/02/1997,91.22,87.14
06/02/1997,90.76,86.69
07/02/1997,91.22,87.1
12/02/1997,91.35,87.2
13/02/1997,90.95,86.73
14/02/1997,90.79,86.52
17/02/1997,91.06,86.82
18/02/1997,90.62,86.37
19/02/1997,89.58,85.31
20/02/1997,89.95,85.65
21/02/1997,89.43,85.12
24/02/1997,89.78,85.47
25/02/1997,89.03,84.74
26/02/1997,89.3,84.95
27/02/1997,89.26,84.93
28/02/1997,88.85,84.53
03/03/1997,88.31,84.01
04/03/1997,87.84,83.54
05/03/1997,88.03,83.63
06/03/1997,87.84,83.44
07/03/1997,87.85,83.44
10/03/1997,87.89,83.48
11/03/1997,87.51,83.07
12/03/1997,87.8,83.3
13/03/1997,87.55,82.95
14/03/1997,87.59,83.03
17/03/1997,87.6,82.74
18/03/1997,87.63,82.75
19/03/1997,87.89,82.87
20/03/1997,87.69,82.73
21/03/1997,88,82.92
24/03/1997,88.26,83.15
25/03/1997,88.08,83
26/03/1997,88.25,83.16
31/03/1997,88.36,83.39
01/04/1997,88.94,83.99
02/04/1997,89.34,84.32
03/04/1997,89.23,84.36
04/04/1997,89.25,84.34
07/04/1997,89.28,84.31
08/04/1997,90,85.03
09/04/1997,89.98,85.01
10/04/1997,90,85.02
11/04/1997,89.93,84.91
14/04/1997,89.68,84.63
15/04/1997,89.74,84.64
16/04/1997,89.31,84.19
17/04/1997,89.53,84.38
18/04/1997,89.29,84.11
22/04/1997,89.62,84.32
23/04/1997,89.09,83.8
24/04/1997,89.3,84.01
25/04/1997,89.25,83.98
28/04/1997,88.83,83.57
29/04/1997,88.42,83.16
30/04/1997,88.24,82.96
02/05/1997,88.33,83.02
05/05/1997,87.73,82.43
06/05/1997,87.39,82.08
07/05/1997,87.23,81.91
08/05/1997,86.94,81.64
09/05/1997,86.86,81.47
12/05/1997,86.34,80.94
13/05/1997,86.23,80.79
14/05/1997,86.36,80.88
15/05/1997,86.25,80.8
16/05/1997,86.1,80.67
19/05/1997,86.32,80.84
20/05/1997,86.36,80.85
21/05/1997,86.42,80.87
22/05/1997,86.91,81.26
23/05/1997,86.76,81.08
26/05/1997,86.65,80.85
27/05/1997,86.74,80.79
28/05/1997,86.4,80.54
30/05/1997,86.55,80.76
02/06/1997,86.43,80.73
03/06/1997,86.62,80.86
04/06/1997,86.78,80.91
05/06/1997,86.64,80.75
06/06/1997,86.81,80.93
09/06/1997,86.96,81.07
10/06/1997,87.46,81.53
