data,a_vista_brl,a_vista_usd
02/01/2020,65.4,16.26
03/01/2020,66.8,16.49
06/01/2020,68.92,16.99
07/01/2020,68.85,16.86
08/01/2020,68.32,16.8
09/01/2020,69.5,17.06
10/01/2020,71.13,17.46
13/01/2020,72.61,17.58
14/01/2020,73.88,17.83
15/01/2020,75.27,18.08
16/01/2020,75.06,17.99
17/01/2020,75.43,18.03
20/01/2020,75.53,18.06
21/01/2020,76.53,18.22
22/01/2020,76.7,18.31
23/01/2020,75.89,18.22
24/01/2020,75.28,18.02
27/01/2020,75.32,17.85
28/01/2020,76.62,18.22
29/01/2020,76.3,18.16
30/01/2020,77.76,18.29
31/01/2020,78.33,18.35
03/02/2020,79.23,18.65
04/02/2020,78.18,18.45
05/02/2020,78.32,18.45
06/02/2020,78.69,18.53
07/02/2020,80.5,18.69
10/02/2020,81.45,18.86
11/02/2020,83.09,19.26
12/02/2020,85.23,19.65
13/02/2020,82.46,19
14/02/2020,81.39,18.86
17/02/2020,81.85,18.97
18/02/2020,81.96,18.85
19/02/2020,83.54,19.1
20/02/2020,83.18,18.96
21/02/2020,83.91,19.1
26/02/2020,82.44,18.58
27/02/2020,81.29,18.16
28/02/2020,82.74,18.39
02/03/2020,81.15,18.05
03/03/2020,80.73,17.99
04/03/2020,80.96,17.89
05/03/2020,82.43,17.84
06/03/2020,81.1,17.46
09/03/2020,81.99,17.31
10/03/2020,79.81,17.09
11/03/2020,78.59,16.81
12/03/2020,79.89,16.36
13/03/2020,77.33,16.33
16/03/2020,77.59,15.68
17/03/2020,78.44,15.53
18/03/2020,79,15.46
19/03/2020,78.7,15.3
20/03/2020,78.7,15.66
23/03/2020,80.47,15.84
24/03/2020,81.57,16.08
25/03/2020,82.05,16.18
26/03/2020,80.4,16.08
27/03/2020,81,15.85
30/03/2020,78.31,15.18
31/03/2020,77.73,14.95
01/04/2020,76.41,14.58
02/04/2020,78.91,14.99
03/04/2020,79.03,14.91
06/04/2020,77.5,14.77
07/04/2020,76.36,14.62
08/04/2020,75.83,14.55
09/04/2020,74.41,14.65
13/04/2020,74.06,14.29
14/04/2020,73.81,14.23
15/04/2020,76.05,14.46
16/04/2020,75.59,14.43
17/04/2020,77.91,14.82
20/04/2020,77.5,14.67
22/04/2020,77.89,14.46
23/04/2020,78.6,14.43
24/04/2020,81.04,14.34
27/04/2020,77.09,13.68
28/04/2020,76.78,13.79
29/04/2020,77.81,14.33
30/04/2020,79.69,14.68
04/05/2020,82.27,14.74
05/05/2020,85.43,15.43
06/05/2020,84.41,14.89
07/05/2020,87.12,14.93
08/05/2020,85.99,14.92
11/05/2020,84.84,14.64
12/05/2020,84.51,14.64
13/05/2020,86.82,14.71
14/05/2020,88.01,14.82
15/05/2020,85.26,14.64
18/05/2020,86.29,15.04
19/05/2020,86.51,15.12
20/05/2020,88.05,15.46
21/05/2020,85.45,15.25
22/05/2020,84.91,15.21
25/05/2020,82.82,15.12
26/05/2020,82.13,15.29
27/05/2020,79.68,15.04
28/05/2020,80.22,15.02
29/05/2020,82.05,15.12
01/06/2020,81.63,15.22
02/06/2020,81.1,15.42
03/06/2020,80.03,15.84
04/06/2020,80.94,15.86
