data,a_vista_brl,a_vista_usd
29/11/2002,0.7685,0.2133
06/12/2002,0.7716,0.2078
13/12/2002,0.7795,0.2064
20/12/2002,0.7915,0.224
27/12/2002,0.7957,0.2248
03/01/2003,0.8491,0.242
10/01/2003,0.888,0.2678
17/01/2003,0.9478,0.2858
24/01/2003,0.9725,0.277
31/01/2003,1.0113,0.2818
07/02/2003,1.1086,0.3109
14/02/2003,1.0067,0.2781
21/02/2003,1.0075,0.2789
28/02/2003,1.0064,0.281
07/03/2003,1.0083,0.2866
14/03/2003,1.0103,0.2917
21/03/2003,1.0116,0.2933
28/03/2003,1.0028,0.2966
04/04/2003,0.9996,0.3047
11/04/2003,1.001,0.3131
17/04/2003,1.0004,0.3236
25/04/2003,0.9915,0.3288
02/05/2003,0.9853,0.3354
09/05/2003,0.9692,0.3274
16/05/2003,0.9205,0.3161
23/05/2003,0.8187,0.2739
30/05/2003,0.7022,0.2345
06/06/2003,0.675,0.2314
13/06/2003,0.652,0.2281
20/06/2003,0.625,0.217
27/06/2003,0.6033,0.2099
04/07/2003,0.5596,0.1976
11/07/2003,0.5485,0.1901
18/07/2003,0.5649,0.1971
25/07/2003,0.6166,0.2135
01/08/2003,0.6811,0.2301
08/08/2003,0.7036,0.2328
15/08/2003,0.7169,0.238
22/08/2003,0.7246,0.2419
29/08/2003,0.725,0.2436
05/09/2003,0.7171,0.2426
12/09/2003,0.6788,0.2328
19/09/2003,0.643,0.2216
26/09/2003,0.6081,0.2079
03/10/2003,0.5633,0.1942
10/10/2003,0.5938,0.2085
17/10/2003,0.6155,0.2163
24/10/2003,0.6278,0.219
31/10/2003,0.6224,0.2178
07/11/2003,0.6342,0.2214
14/11/2003,0.6539,0.2242
21/11/2003,0.6678,0.2274
28/11/2003,0.6719,0.2286
05/12/2003,0.7101,0.242
12/12/2003,0.7176,0.2441
19/12/2003,0.7211,0.2462
26/12/2003,0.7076,0.2432
02/01/2004,0.7129,0.2474
09/01/2004,0.6802,0.2384
16/01/2004,0.6211,0.221
23/01/2004,0.5913,0.2082
30/01/2004,0.6063,0.2095
06/02/2004,0.5569,0.1901
13/02/2004,0.4273,0.1468
20/02/2004,0.3792,0.1291
27/02/2004,0.3871,0.1322
05/03/2004,0.4019,0.1392
12/03/2004,0.3758,0.1299
19/03/2004,0.3769,0.1297
26/03/2004,0.3984,0.1361
02/04/2004,0.4582,0.1577
08/04/2004,0.5048,0.1754
16/04/2004,0.4731,0.1632
23/04/2004,0.4434,0.152
30/04/2004,0.4553,0.1551
07/05/2004,0.4728,0.1579
14/05/2004,0.4904,0.1574
21/05/2004,0.5848,0.1851
28/05/2004,0.6498,0.2071
04/06/2004,0.6304,0.2
11/06/2004,0.6292,0.2015
18/06/2004,0.6259,0.1993
25/06/2004,0.6276,0.2012
02/07/2004,0.6261,0.2027
08/07/2004,0.6326,0.208
16/07/2004,0.6643,0.2197
23/07/2004,0.7452,0.2463
30/07/2004,0.7596,0.2487
06/08/2004,0.7597,0.249
13/08/2004,0.7605,0.2508
20/08/2004,0.753,0.252
27/08/2004,0.7521,0.2544
03/09/2004,0.7462,0.2542
10/09/2004,0.7522,0.259
17/09/2004,0.7545,0.2606
24/09/2004,0.8002,0.2783
01/10/2004,0.8367,0.2927
08/10/2004,0.8851,0.3121
15/10/2004,0.9022,0.3169
22/10/2004,0.9494,0.3311
29/10/2004,0.96,0.3348
05/11/2004,0.9774,0.3453
12/11/2004,0.9875,0.3502
19/11/2004,0.9821,0.3536
26/11/2004,0.9778,0.356
03/12/2004,0.9273,0.3405
10/12/2004,0.9133,0.3313
17/12/2004,0.8986,0.3279
23/12/2004,0.882,0.3271
30/12/2004,0.8842,0.3305
07/01/2005,0.8898,0.3291
14/01/2005,0.8867,0.3278
21/01/2005,0.8863,0.3274
28/01/2005,0.8748,0.3277
04/02/2005,0.8724,0.3342
11/02/2005,0.8693,0.3332
18/02/2005,0.853,0.331
25/02/2005,0.8281,0.318
04/03/2005,0.8405,0.3186
11/03/2005,0.8787,0.3252
18/03/2005,0.8954,0.3264
24/03/2005,0.8871,0.3251
01/04/2005,0.8799,0.3277
