data,a_vista_brl,a_vista_usd
29/11/2002,0.6842,0.1899
06/12/2002,0.6897,0.1858
13/12/2002,0.6926,0.1834
20/12/2002,0.7065,0.1999
27/12/2002,0.6941,0.1961
03/01/2003,0.7281,0.2075
10/01/2003,0.7927,0.239
17/01/2003,0.8195,0.2471
24/01/2003,0.861,0.2452
31/01/2003,0.8577,0.239
07/02/2003,0.884,0.2479
14/02/2003,0.8621,0.2382
21/02/2003,0.8696,0.2407
28/02/2003,0.872,0.2435
07/03/2003,0.8959,0.2547
14/03/2003,0.8966,0.2588
21/03/2003,0.8623,0.25
28/03/2003,0.8419,0.249
04/04/2003,0.8377,0.2553
11/04/2003,0.8374,0.262
17/04/2003,0.841,0.272
25/04/2003,0.8495,0.2817
02/05/2003,0.8241,0.2805
09/05/2003,0.7958,0.2688
16/05/2003,0.7801,0.2679
23/05/2003,0.6918,0.2315
30/05/2003,0.631,0.2107
06/06/2003,0.6078,0.2084
13/06/2003,0.5839,0.2043
20/06/2003,0.5532,0.1921
27/06/2003,0.5183,0.1803
04/07/2003,0.4639,0.1638
11/07/2003,0.4636,0.1607
18/07/2003,0.4673,0.1631
25/07/2003,0.5322,0.1843
01/08/2003,0.5849,0.1976
08/08/2003,0.5935,0.1963
15/08/2003,0.6105,0.2026
22/08/2003,0.6113,0.2041
29/08/2003,0.6158,0.2069
05/09/2003,0.6127,0.2073
12/09/2003,0.6003,0.2059
19/09/2003,0.5543,0.191
26/09/2003,0.5329,0.1822
03/10/2003,0.4857,0.1674
10/10/2003,0.5228,0.1836
17/10/2003,0.5567,0.1957
24/10/2003,0.5592,0.1951
31/10/2003,0.5149,0.1801
07/11/2003,0.5299,0.185
14/11/2003,0.5633,0.1931
21/11/2003,0.5634,0.1918
28/11/2003,0.5764,0.1961
05/12/2003,0.6037,0.2058
12/12/2003,0.6142,0.209
19/12/2003,0.617,0.2106
26/12/2003,0.6068,0.2085
02/01/2004,0.6071,0.2107
09/01/2004,0.5903,0.2069
16/01/2004,0.5588,0.1988
23/01/2004,0.5092,0.1793
30/01/2004,0.525,0.1814
06/02/2004,0.4838,0.1652
13/02/2004,0.3715,0.1276
20/02/2004,0.3186,0.1085
27/02/2004,0.3606,0.1232
05/03/2004,0.3542,0.1227
12/03/2004,0.3243,0.1121
19/03/2004,0.3297,0.1135
26/03/2004,0.3443,0.1176
02/04/2004,0.425,0.1463
08/04/2004,0.448,0.1557
16/04/2004,0.4239,0.1463
23/04/2004,0.3878,0.1329
30/04/2004,0.4026,0.1371
07/05/2004,0.4094,0.1368
14/05/2004,0.4359,0.1398
21/05/2004,0.5035,0.1594
28/05/2004,0.5563,0.1773
04/06/2004,0.5411,0.1717
11/06/2004,0.5353,0.1714
18/06/2004,0.5324,0.1695
25/06/2004,0.538,0.1725
02/07/2004,0.5413,0.1753
08/07/2004,0.5424,0.1783
16/07/2004,0.5699,0.1885
23/07/2004,0.6489,0.2145
30/07/2004,0.6593,0.2159
06/08/2004,0.66,0.2163
13/08/2004,0.6583,0.2171
20/08/2004,0.6501,0.2175
27/08/2004,0.6427,0.2174
03/09/2004,0.6389,0.2177
