data,a_vista_brl,a_vista_usd
01/01/2002,0,0
29/11/2002,0.6924,0.1922
06/12/2002,0.7001,0.1886
13/12/2002,0.6979,0.1848
20/12/2002,0.7091,0.2006
27/12/2002,0.7133,0.2015
03/01/2003,0.6998,0.1995
10/01/2003,0.7726,0.233
17/01/2003,0.7914,0.2386
24/01/2003,0.8384,0.2388
31/01/2003,0.8412,0.2344
07/02/2003,0.903,0.2532
14/02/2003,0.9047,0.25
21/02/2003,0.8995,0.249
28/02/2003,0.8997,0.2512
07/03/2003,0.9068,0.2578
14/03/2003,0.8956,0.2585
21/03/2003,0.8818,0.2557
28/03/2003,0.8594,0.2542
04/04/2003,0.862,0.2627
11/04/2003,0.854,0.2671
17/04/2003,0.8531,0.2759
25/04/2003,0.8627,0.2861
02/05/2003,0.8428,0.2869
09/05/2003,0.8234,0.2782
16/05/2003,0.7971,0.2737
23/05/2003,0.7427,0.2485
30/05/2003,0.692,0.2311
06/06/2003,0.6424,0.2202
13/06/2003,0.6268,0.2193
20/06/2003,0.5879,0.2041
27/06/2003,0.5727,0.1992
04/07/2003,0.5298,0.1871
11/07/2003,0.5166,0.1791
18/07/2003,0.5109,0.1783
25/07/2003,0.5278,0.1828
01/08/2003,0.5537,0.1871
08/08/2003,0.5888,0.1948
15/08/2003,0.6116,0.203
22/08/2003,0.6084,0.2031
29/08/2003,0.6141,0.2064
05/09/2003,0.6221,0.2105
12/09/2003,0.6122,0.21
19/09/2003,0.5886,0.2028
26/09/2003,0.5649,0.1931
03/10/2003,0.5517,0.1902
10/10/2003,0.5421,0.1904
17/10/2003,0.5325,0.1872
24/10/2003,0.541,0.1887
31/10/2003,0.5592,0.1956
07/11/2003,0.5573,0.1946
14/11/2003,0.5582,0.1913
21/11/2003,0.5687,0.1937
28/11/2003,0.5701,0.194
05/12/2003,0.5792,0.1974
12/12/2003,0.5929,0.2017
19/12/2003,0.6208,0.2119
26/12/2003,0.626,0.2151
02/01/2004,0.6241,0.2166
09/01/2004,0.6189,0.2169
16/01/2004,0.5991,0.2131
23/01/2004,0.57,0.2007
30/01/2004,0.5712,0.1973
06/02/2004,0.6098,0.2082
13/02/2004,0.545,0.1872
20/02/2004,0.4464,0.152
27/02/2004,0.4251,0.1452
05/03/2004,0.4139,0.1434
12/03/2004,0.4211,0.1455
19/03/2004,0.4209,0.1449
26/03/2004,0.421,0.1438
02/04/2004,0.4513,0.1553
08/04/2004,0.4879,0.1696
16/04/2004,0.5006,0.1728
23/04/2004,0.4702,0.1611
30/04/2004,0.4707,0.1603
07/05/2004,0.4761,0.159
14/05/2004,0.4808,0.1543
21/05/2004,0.5185,0.1641
28/05/2004,0.574,0.1829
04/06/2004,0.6015,0.1908
11/06/2004,0.5852,0.1874
18/06/2004,0.5885,0.1874
25/06/2004,0.5995,0.1922
02/07/2004,0.6043,0.1957
08/07/2004,0.5961,0.196
16/07/2004,0.6038,0.1997
23/07/2004,0.6639,0.2195
30/07/2004,0.6862,0.2247
06/08/2004,0.7078,0.232
13/08/2004,0.7287,0.2403
20/08/2004,0.7304,0.2444
27/08/2004,0.7297,0.2468
03/09/2004,0.7208,0.2456
10/09/2004,0.7063,0.2432
17/09/2004,0.7171,0.2477
24/09/2004,0.7212,0.2508
01/10/2004,0.7445,0.2605
08/10/2004,0.7645,0.2696
15/10/2004,0.8202,0.2881
22/10/2004,0.8563,0.2986
29/10/2004,0.8882,0.3098
05/11/2004,0.9121,0.3222
12/11/2004,0.9153,0.3246
19/11/2004,0.9347,0.3365
26/11/2004,0.928,0.3379
03/12/2004,0.8801,0.3231
10/12/2004,0.8934,0.3241
17/12/2004,0.8854,0.323
23/12/2004,0.8533,0.3165
30/12/2004,0.8623,0.3223
07/01/2005,0.8436,0.3121
14/01/2005,0.8612,0.3184
21/01/2005,0.8564,0.3164
28/01/2005,0.8482,0.3178
04/02/2005,0.852,0.3264
11/02/2005,0.846,0.3242
18/02/2005,0.8516,0.3305
25/02/2005,0.8471,0.3253
04/03/2005,0.8525,0.3232
11/03/2005,0.8526,0.3155
18/03/2005,0.8588,0.313
24/03/2005,0.8568,0.314
01/04/2005,0.8377,0.312
08/04/2005,0.8436,0.3232
15/04/2005,0.8522,0.3298
22/04/2005,0.8555,0.3329
29/04/2005,0.8075,0.319
06/05/2005,0.7798,0.3144
13/05/2005,0.659,0.2674
20/05/2005,0.6631,0.2694
27/05/2005,0.6611,0.274
03/06/2005,0.659,0.2731
10/06/2005,0.6233,0.2524
17/06/2005,0.6211,0.2564
24/06/2005,0.6726,0.2819
01/07/2005,0.6813,0.289
08/07/2005,0.7262,0.3053
15/07/2005,0.763,0.3257
22/07/2005,0.7562,0.321
29/07/2005,0.762,0.3139
05/08/2005,0.7524,0.3234
12/08/2005,0.7494,0.3224
19/08/2005,0.725,0.3054
26/08/2005,0.7287,0.3027
02/09/2005,0.7262,0.3072
09/09/2005,0.723,0.3112
16/09/2005,0.7883,0.3406
23/09/2005,0.8024,0.3515
30/09/2005,0.881,0.3937
07/10/2005,0.8945,0.3958
14/10/2005,0.9304,0.4146
21/10/2005,0.9301,0.4136
28/10/2005,0.894,0.3935
04/11/2005,0.8688,0.3891
11/11/2005,0.8688,0.3982
18/11/2005,0.8676,0.3929
25/11/2005,0.8862,0.396
02/12/2005,0.9339,0.4234
09/12/2005,0.9864,0.4466
16/12/2005,1.005,0.4392
23/12/2005,1.0635,0.4552
29/12/2005,1.0958,0.4691
06/01/2006,1.1107,0.4816
13/01/2006,1.1013,0.4856
20/01/2006,1.1013,0.4782
27/01/2006,1.1137,0.4974
03/02/2006,1.1484,0.5178
10/02/2006,1.1639,0.5342
17/02/2006,1.1655,0.5462
24/02/2006,1.2546,0.5865
03/03/2006,1.2812,0.6063
10/03/2006,1.3284,0.6151
17/03/2006,1.3445,0.6332
24/03/2006,1.3798,0.6393
31/03/2006,1.3906,0.6351
07/04/2006,1.342,0.6278
13/04/2006,1.2937,0.604
20/04/2006,1.1615,0.5474
28/04/2006,1.0478,0.4965
05/05/2006,0.9732,0.4712
12/05/2006,0.9704,0.4649
19/05/2006,0.9645,0.4421
26/05/2006,0.9268,0.4024
02/06/2006,0.9443,0.4128
09/06/2006,0.9403,0.4168
16/06/2006,0.9586,0.4204
23/06/2006,0.9673,0.4316
30/06/2006,0.9773,0.4431
07/07/2006,0.9906,0.4542
14/07/2006,1.0091,0.4588
21/07/2006,1.0205,0.4652
28/07/2006,1.0159,0.4639
04/08/2006,1.0145,0.465
11/08/2006,0.9892,0.4556
18/08/2006,0.9688,0.4515
25/08/2006,0.9376,0.4368
01/09/2006,0.9136,0.4269
08/09/2006,0.8901,0.4156
15/09/2006,0.8831,0.4082
22/09/2006,0.8819,0.4044
29/09/2006,0.8667,0.3961
06/10/2006,0.8597,0.3974
13/10/2006,0.8612,0.4004
20/10/2006,0.8686,0.4066
27/10/2006,0.8653,0.4041
03/11/2006,0.867,0.4044
10/11/2006,0.8659,0.4041
17/11/2006,0.8713,0.4037
24/11/2006,0.8609,0.3975
01/12/2006,0.8531,0.3921
08/12/2006,0.8583,0.3994
15/12/2006,0.8616,0.4014
22/12/2006,0.8768,0.407
28/12/2006,0.8809,0.4112
05/01/2007,0.9394,0.4386
