data,a_vista_brl,a_vista_usd
02/02/2004,436.76,148.36
03/02/2004,432.87,148.35
04/02/2004,435.37,149.15
05/02/2004,432.6,147.54
09/02/2004,431.91,147.66
10/02/2004,434.58,148.78
11/02/2004,430.13,147.96
12/02/2004,430.64,148.7
13/02/2004,406.36,139.83
16/02/2004,437.05,150.29
17/02/2004,432.25,148.08
18/02/2004,435.54,148.09
19/02/2004,435.2,147.03
20/02/2004,437.47,147.79
25/02/2004,436.19,148.31
26/02/2004,436.22,148.68
27/02/2004,437.86,150.67
01/03/2004,437.2,150.97
02/03/2004,435,150.41
03/03/2004,438.93,151.99
04/03/2004,439.7,152.15
05/03/2004,436.07,151.99
08/03/2004,443.21,154.11
09/03/2004,437.5,151.86
10/03/2004,440.21,151.8
11/03/2004,439.3,151.01
12/03/2004,438.17,151.04
15/03/2004,440.62,151.67
16/03/2004,441.92,152.54
17/03/2004,444.61,152.68
18/03/2004,451,155.09
19/03/2004,454.26,156.53
22/03/2004,449.57,154.33
23/03/2004,454.35,155.87
24/03/2004,472.76,161.35
25/03/2004,481.73,164.02
26/03/2004,487.25,165.79
29/03/2004,489.67,166.55
30/03/2004,486.39,167.2
31/03/2004,493.22,170.31
01/04/2004,499.64,172.89
02/04/2004,501.07,173.08
05/04/2004,509.38,177.11
06/04/2004,507.71,176.53
07/04/2004,515.08,179.41
08/04/2004,510.35,176.9
12/04/2004,528.54,183.39
13/04/2004,535.27,185.02
14/04/2004,538.22,186.43
15/04/2004,538.2,184.44
16/04/2004,545.94,187.67
19/04/2004,543.81,187.07
20/04/2004,545.71,186.38
22/04/2004,545,186.13
23/04/2004,543.16,186.65
26/04/2004,546.47,187.73
27/04/2004,543.43,186.3
28/04/2004,550.18,186.5
29/04/2004,548,184.7
30/04/2004,550,187.59
03/05/2004,543.47,182.37
04/05/2004,544.54,183.35
05/05/2004,554.15,187.53
06/05/2004,539.54,179.79
07/05/2004,554.47,181.08
10/05/2004,555.88,177.03
11/05/2004,546.67,177.72
12/05/2004,558.71,177.82
13/05/2004,555.29,177.18
14/05/2004,559.29,180.88
17/05/2004,562.94,180.2
18/05/2004,560.4,178.98
19/05/2004,571.58,182.38
20/05/2004,568,176.78
21/05/2004,577.38,180.71
24/05/2004,581.82,182.96
25/05/2004,577.56,184
26/05/2004,579,183.17
27/05/2004,577,184.94
28/05/2004,583,188.67
31/05/2004,590.42,185.08
01/06/2004,579.67,183.15
02/06/2004,584.47,186.43
03/06/2004,579.71,183.74
04/06/2004,582.95,186.13
07/06/2004,577.25,185.49
08/06/2004,569.06,182.98
09/06/2004,577,184.58
11/06/2004,575.7,183.29
14/06/2004,582.43,183.73
15/06/2004,575.4,184.13
16/06/2004,579.64,184.6
17/06/2004,576.58,184.33
18/06/2004,569.75,181.45
21/06/2004,570.73,182.11
22/06/2004,568.5,181.4
23/06/2004,562.5,180.23
24/06/2004,558.67,180.56
25/06/2004,550.73,177.03
28/06/2004,542.63,173.42
29/06/2004,538.75,173.34
30/06/2004,540.15,174.98
01/07/2004,536.5,174.53
