data,a_vista_brl,a_vista_usd
02/02/2004,396.67,134.74
03/02/2004,395.56,135.56
04/02/2004,391.67,134.18
05/02/2004,392.7,133.94
09/02/2004,404.33,138.23
10/02/2004,399.5,136.77
11/02/2004,393.6,135.4
12/02/2004,401.17,138.52
13/02/2004,394.15,135.63
16/02/2004,408,140.3
17/02/2004,381.67,130.75
18/02/2004,399.33,135.78
19/02/2004,386.5,130.57
20/02/2004,391.33,132.21
25/02/2004,399.75,135.92
26/02/2004,397,135.31
27/02/2004,392,134.89
01/03/2004,406.11,140.23
02/03/2004,404.56,139.89
03/03/2004,398,137.81
04/03/2004,402.17,139.16
05/03/2004,390,135.94
08/03/2004,393.67,136.88
09/03/2004,390.5,135.54
10/03/2004,389.5,134.31
11/03/2004,393.17,135.16
12/03/2004,390.83,134.72
15/03/2004,393,135.28
16/03/2004,385.25,132.98
17/03/2004,391.6,134.48
18/03/2004,397.57,136.72
19/03/2004,400,137.84
22/03/2004,403.33,138.46
23/03/2004,402.5,138.08
24/03/2004,401.25,136.95
25/03/2004,402,136.87
26/03/2004,402,136.78
29/03/2004,405.17,137.81
30/03/2004,418.05,143.71
31/03/2004,426.83,147.39
01/04/2004,421.05,145.69
02/04/2004,425.88,147.11
05/04/2004,428.57,149.02
06/04/2004,428.43,148.97
07/04/2004,431.61,150.34
08/04/2004,434,150.43
12/04/2004,443.33,153.83
13/04/2004,444.46,153.63
14/04/2004,449.94,155.85
15/04/2004,455.66,156.16
16/04/2004,463.57,159.36
19/04/2004,469,161.33
20/04/2004,474.67,162.11
22/04/2004,475,162.23
23/04/2004,480.13,164.99
26/04/2004,484.83,166.55
27/04/2004,481.75,165.15
28/04/2004,487.43,165.23
29/04/2004,482.75,162.71
30/04/2004,483.38,164.86
03/05/2004,492.48,165.26
04/05/2004,493,165.99
05/05/2004,490.57,166.01
06/05/2004,503.5,167.78
07/05/2004,490.57,160.21
10/05/2004,500.08,159.26
11/05/2004,498.33,162.01
12/05/2004,501.5,159.61
13/05/2004,516.6,164.84
14/05/2004,518.09,167.56
17/05/2004,500.2,160.12
18/05/2004,496.8,158.67
19/05/2004,512.67,163.58
20/05/2004,510.86,159
21/05/2004,516.6,161.69
24/05/2004,511.17,160.74
25/05/2004,520.29,165.75
26/05/2004,506,160.08
27/05/2004,518,166.03
28/05/2004,523,169.26
31/05/2004,523.8,164.2
01/06/2004,512.5,161.93
02/06/2004,505.33,161.19
03/06/2004,509,161.33
04/06/2004,504.83,161.19
07/06/2004,505.8,162.53
08/06/2004,500.5,160.93
09/06/2004,503.8,161.16
11/06/2004,499.67,159.08
14/06/2004,501.8,158.3
15/06/2004,507,162.24
16/06/2004,499.8,159.17
17/06/2004,489.25,156.41
18/06/2004,493.5,157.17
21/06/2004,494.6,157.82
22/06/2004,496.67,158.48
23/06/2004,497.6,159.44
24/06/2004,495.17,160.04
25/06/2004,492.63,158.35
28/06/2004,492.29,157.33
29/06/2004,483,155.41
30/06/2004,483.4,156.59
01/07/2004,482.6,156.99
02/07/2004,474.33,155.93
05/07/2004,469.33,155.2
06/07/2004,469.83,154.14
07/07/2004,473.8,156.11
08/07/2004,470.4,153.78
09/07/2004,473,155.54
12/07/2004,463,152.55
13/07/2004,460,151.32
14/07/2004,454.75,150.28
15/07/2004,459.75,152.49
16/07/2004,453,150.95
19/07/2004,448.83,149.86
20/07/2004,447,148.7
21/07/2004,453.6,149.8
22/07/2004,450.17,148.03
23/07/2004,450,147.25
26/07/2004,452,146.9
27/07/2004,447,145.89
28/07/2004,454,148.66
29/07/2004,444.67,146.42
30/07/2004,447.11,147.17
02/08/2004,443.88,145.68
03/08/2004,446.57,146.27
04/08/2004,441.4,144.48
05/08/2004,437.13,142.43
06/08/2004,435.67,143.69
09/08/2004,422,138.82
10/08/2004,429,141.63
11/08/2004,435.04,143.25
12/08/2004,435.17,143.38
13/08/2004,423.6,140.22
16/08/2004,419.14,139.34
17/08/2004,413.8,138.12
18/08/2004,410.67,137.58
19/08/2004,408,136.55
20/08/2004,405.33,136.29
23/08/2004,402.67,135.85
24/08/2004,413.67,139.94
25/08/2004,414.25,140.33
26/08/2004,411.17,139.1
27/08/2004,414.25,140.19
30/08/2004,413.4,140.33
31/08/2004,412.83,140.95
01/09/2004,416.75,142.09
02/09/2004,413,140.48
03/09/2004,409,139.5
06/09/2004,416.25,142.89
08/09/2004,410.83,141.62
09/09/2004,411.57,141.92
10/09/2004,410.14,141.28
13/09/2004,408,140.16
14/09/2004,402.25,138.28
15/09/2004,397,136.8
16/09/2004,392.75,136.14
17/09/2004,395,137.68
21/09/2004,399,139.07
22/09/2004,392.5,136.19
23/09/2004,400,138.84
24/09/2004,400,139.37
27/09/2004,386.67,134.59
28/09/2004,396.6,138.33
29/09/2004,378.33,132.56
30/09/2004,387.5,135.54
01/10/2004,388.67,136.9
04/10/2004,379,134.11
05/10/2004,368.75,130.3
06/10/2004,380.25,133.8
07/10/2004,377.33,132.07
08/10/2004,374.92,132.53
11/10/2004,374.67,132.86
13/10/2004,356.6,125.56
14/10/2004,352,122.56
15/10/2004,355,124.26
18/10/2004,346.6,121.23
19/10/2004,356.25,123.74
20/10/2004,351.6,122.42
21/10/2004,358.33,125.42
22/10/2004,358.33,124.81
25/10/2004,352.67,122.33
26/10/2004,365.14,127.4
27/10/2004,356.4,124.53
28/10/2004,368.75,128.62
29/10/2004,368.2,128.79
01/11/2004,370.5,129.86
03/11/2004,355.17,125.54
04/11/2004,350.19,124.18
05/11/2004,340.8,120.85
08/11/2004,334.5,117.95
09/11/2004,333,117.83
10/11/2004,330,116.73
11/11/2004,320.5,113.69
12/11/2004,327.67,116.65
16/11/2004,325,116.7
17/11/2004,325,117.67
18/11/2004,325,117.03
19/11/2004,323.33,116.06
22/11/2004,325,117.97
23/11/2004,325,118.44
24/11/2004,325,117.97
25/11/2004,325,118.18
26/11/2004,321,117.2
29/11/2004,314,114.26
30/11/2004,320,116.83
01/12/2004,316.5,116.75
02/12/2004,318.25,116.45
03/12/2004,317.6,117.24
06/12/2004,317.8,116.71
07/12/2004,328.33,119.48
08/12/2004,327.5,118.19
09/12/2004,313.67,112.79
10/12/2004,318.33,114.71
13/12/2004,318.75,115.32
14/12/2004,323.75,117.47
15/12/2004,315,115.6
16/12/2004,312.5,114.09
17/12/2004,322.14,117.74
20/12/2004,308.25,115.19
21/12/2004,325.43,120.48
22/12/2004,322.03,119.01
23/12/2004,322.52,119.36
27/12/2004,323.14,120.13
28/12/2004,322.16,119.76
29/12/2004,322.52,120.08
30/12/2004,321.71,121.22
03/01/2005,319.33,119.42
04/01/2005,317.4,117.56
05/01/2005,318,117.43
06/01/2005,315.67,115.93
07/01/2005,320.83,118.35
10/01/2005,328.61,121.57
11/01/2005,317.33,116.62
12/01/2005,324.5,120.14
13/01/2005,325.75,120.69
14/01/2005,323.5,119.73
17/01/2005,320,118.43
18/01/2005,322,118.47
19/01/2005,319.86,118.03
20/01/2005,322.17,118.53
21/01/2005,320.13,118.43
24/01/2005,321,119.73
25/01/2005,322.43,119.95
26/01/2005,319.33,119.87
27/01/2005,320.71,120.3
28/01/2005,322.5,121.84
31/01/2005,318.13,121.84
01/02/2005,316.22,121.16
02/02/2005,319.29,121.4
03/02/2005,317.78,122.08
04/02/2005,319.51,122.23
09/02/2005,314.33,120.67
10/02/2005,323.51,123.53
11/02/2005,326.13,124.33
14/02/2005,323.64,125.44
15/02/2005,321.04,124.2
16/02/2005,320.94,124.35
17/02/2005,320.25,124.71
18/02/2005,319.14,123.99
21/02/2005,316.75,122.87
22/02/2005,320.25,123.22
23/02/2005,323.38,124.67
24/02/2005,317.86,120.77
25/02/2005,318.71,121.74
